City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Lieksa,FI,63.3167,30.0167,43.11,95,100,6.51,overcast clouds
228,Ayagoz,KZ,47.9714,80.4392,57.79,31,52,5.59,broken clouds
229,Prieska,ZA,-29.6641,22.7474,66.18,33,99,4.14,overcast clouds
230,Comodoro Rivadavia,AR,-45.8667,-67.5,53.64,45,63,14.5,broken clouds
231,Mpika,ZM,-11.8343,31.4529,60.35,60,1,6.44,clear sky
232,Ahlat,TR,38.7518,42.4814,53.78,33,0,4.97,clear sky
233,Verkhnyaya Inta,RU,65.9811,60.3094,29.3,72,37,8.81,scattered clouds
234,Nunchia,CO,5.6406,-72.1986,72.84,84,100,4.12,overcast clouds
235,Jumla,NP,29.2747,82.1838,56.57,90,83,2.37,broken clouds
236,Kochinda,IN,21.7333,84.35,76.21,89,98,2.33,overcast clouds
237,Takoradi,GH,4.8845,-1.7554,74.71,93,7,8.81,clear sky
238,Alta Floresta,BR,-9.8756,-56.0861,71.73,91,80,2.8,broken clouds
239,Raudeberg,NO,61.9875,5.1352,50.67,1,100,16.53,light rain
240,Mecca,SA,21.4267,39.8261,89.33,14,10,9.22,clear sky
241,Larreynaga,NI,12.6769,-86.5719,75.2,96,99,2.86,overcast clouds
242,Alcabideche,PT,38.7337,-9.4093,63.7,93,0,28.99,clear sky
243,Sur,OM,22.5667,59.5289,83.01,64,7,7.76,clear sky
244,Brae,GB,60.3964,-1.353,46.04,75,100,27.02,light rain
245,Shakawe,BW,-18.3667,21.85,70.18,28,10,6.06,clear sky
246,Coquimbo,CL,-29.9533,-71.3436,54.0,82,43,5.3,scattered clouds
247,Bermejo,AR,-32.8833,-68.8,61.61,36,4,7.56,clear sky
248,Ancud,CL,-41.8697,-73.8203,48.22,80,100,18.99,light rain
249,Nador,MA,35.174,-2.9287,71.85,78,20,5.75,few clouds
250,Canto Do Buriti,BR,-8.11,-42.9444,80.28,37,0,0.27,clear sky
251,Lasa,IT,46.6166,10.7002,47.7,97,78,4.56,broken clouds
252,Sisimiut,GL,66.9395,-53.6735,43.75,53,100,7.27,overcast clouds
253,Ylojarvi,FI,61.5563,23.5961,41.95,96,0,3.44,clear sky
254,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,17.27,scattered clouds
255,Tiffin,US,41.1145,-83.178,58.48,92,23,10.63,few clouds
256,Cabedelo,BR,-6.9811,-34.8339,75.87,82,0,13.51,clear sky
257,Guantanamo,CU,20.1444,-75.2092,78.57,83,100,2.86,overcast clouds
258,Iralaya,HN,15.0,-83.2333,79.0,85,100,10.02,overcast clouds
259,Tucuman,AR,-26.8241,-65.2226,63.14,34,0,4.36,clear sky
260,Springdale,US,36.1867,-94.1288,71.83,45,0,3.44,clear sky
261,Necochea,AR,-38.5473,-58.7368,50.54,91,60,11.61,broken clouds
262,Amapa,BR,1.0,-52.0,74.62,81,6,3.2,clear sky
263,Bitam,GA,2.076,11.5007,68.25,99,100,3.49,overcast clouds
264,Moose Factory,CA,51.2585,-80.6094,49.3,73,100,3.71,overcast clouds
265,Lebyazhye,RU,55.2689,66.4947,41.61,89,100,21.16,light rain
266,Tshikapa,CD,-6.4167,20.8,71.24,84,100,1.36,overcast clouds
267,Grand-Santi,GF,4.25,-54.3833,74.01,87,52,3.74,broken clouds
268,Harper,LR,4.375,-7.7169,72.93,95,100,8.19,moderate rain
269,Bonavista,CA,48.6499,-53.1147,53.71,74,100,21.41,overcast clouds
270,Husavik,IS,66.0449,-17.3389,38.32,60,100,26.08,overcast clouds
271,Mehran,IR,33.1222,46.1646,77.81,29,0,15.28,clear sky
272,Burla,IN,21.5,83.8667,76.21,89,100,1.43,overcast clouds
273,Teguldet,RU,57.3064,88.1667,32.22,88,100,6.91,overcast clouds
274,Ponta Delgada,PT,37.7333,-25.6667,67.5,68,20,6.91,few clouds
275,Chapais,CA,49.7834,-74.8492,51.58,72,100,4.12,overcast clouds
276,Viedma,AR,-40.8135,-62.9967,50.16,97,52,13.47,broken clouds
277,Novo Aripuana,BR,-5.1206,-60.3797,85.95,33,87,2.51,overcast clouds
278,Bilma,NE,18.6853,12.9164,90.03,13,24,8.34,few clouds
279,Morant Bay,JM,17.8815,-76.4093,75.7,85,100,10.49,overcast clouds
280,Krasnoselkup,RU,65.7,82.4667,25.9,76,100,16.26,overcast clouds
281,Vinukonda,IN,16.05,79.75,78.73,79,44,2.98,scattered clouds
282,Lakheri,IN,25.6667,76.1667,76.03,81,77,1.66,broken clouds
283,Orsha,BY,54.5153,30.4053,46.49,78,100,6.4,overcast clouds
284,Fatehpur,IN,25.9333,80.8,77.27,87,91,2.39,overcast clouds
285,Beloha,MG,-25.1667,45.05,69.4,59,0,5.55,clear sky
286,Stornoway,GB,58.2093,-6.3865,49.03,72,99,11.99,overcast clouds
287,Yondo,CO,7.0062,-73.9097,76.96,84,100,1.9,overcast clouds
288,Saint-Joseph,RE,-21.3667,55.6167,64.78,79,38,11.7,scattered clouds
289,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.02,63,100,8.23,overcast clouds
290,Neusiedl Am See,AT,47.9357,16.8325,58.26,95,99,0.31,overcast clouds
291,Salisbury,GB,51.0693,-1.7957,55.51,77,100,11.5,overcast clouds
292,Abu Samrah,SY,35.3029,37.1841,67.98,37,0,3.67,clear sky
293,Marquette,US,46.5333,-87.6335,50.04,93,100,12.5,overcast clouds
294,Morondava,MG,-20.2833,44.2833,72.48,69,2,1.57,clear sky
295,Aksarka,RU,66.5606,67.7975,25.9,91,18,7.76,few clouds
296,Kedrovyy,RU,56.1667,91.8167,37.87,98,100,6.2,overcast clouds
297,Carnot,CF,4.9409,15.8665,68.4,95,100,1.21,overcast clouds
298,Hranice,CZ,49.548,17.7347,54.0,94,99,4.5,light rain
299,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,55.94,85,100,2.3,overcast clouds
300,Kananga,CD,-5.8958,22.4178,68.63,90,100,1.07,overcast clouds
301,Sorland,NO,67.667,12.6934,53.46,75,7,17.4,clear sky
302,Henties Bay,NA,-22.116,14.2845,54.57,84,79,4.76,broken clouds
303,Tver,RU,56.8619,35.8931,43.45,97,100,4.83,overcast clouds
304,Chabahar,IR,25.2919,60.643,80.06,80,75,12.73,broken clouds
305,Moncton,CA,46.1159,-64.8019,56.32,61,100,8.19,overcast clouds
306,Berlevag,NO,70.8578,29.0864,42.8,81,2,8.05,clear sky
307,Amel,BE,50.3514,6.1681,46.81,93,100,4.61,mist
308,Marawi,PH,7.9986,124.2928,76.57,70,92,7.09,overcast clouds
309,Coruripe,BR,-10.1256,-36.1756,73.36,84,0,7.96,clear sky
310,Vredendal,ZA,-31.6683,18.5012,53.2,86,100,6.38,overcast clouds
311,Antequera,ES,37.0194,-4.5612,63.95,74,93,3.47,overcast clouds
312,Kudahuvadhoo,MV,2.6708,72.8944,81.43,75,100,14.07,light rain
313,Aksu,CN,41.1231,80.2644,66.83,31,0,5.68,clear sky
314,Barzas,RU,55.7167,86.3167,36.34,90,100,4.81,overcast clouds
315,Thinadhoo,MV,0.5333,72.9333,81.91,71,100,16.53,overcast clouds
316,Yurga,RU,55.7231,84.8861,38.07,72,100,8.28,overcast clouds
317,Sinegorskiy,RU,48.0139,40.8447,50.34,63,100,7.99,overcast clouds
318,Hambantota,LK,6.1241,81.1185,75.54,100,75,2.3,broken clouds
319,Bandarbeyla,SO,9.4942,50.8122,76.71,84,100,24.16,overcast clouds
320,Lyskovo,RU,56.0328,45.0422,46.33,91,100,2.62,light rain
321,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,78,77,17.94,broken clouds
322,Mabaruma,GY,8.2,-59.7833,74.19,97,60,2.33,broken clouds
323,Atasu,KZ,48.6814,71.6433,62.31,30,94,7.94,overcast clouds
324,Mbanza-Ngungu,CD,-5.25,14.8667,72.34,71,21,7.34,few clouds
325,La Libertad,EC,-2.2333,-80.9,67.96,82,84,12.06,broken clouds
326,Valparaiso,CL,-33.0393,-71.6273,53.24,82,20,6.91,few clouds
327,Wundanyi,KE,-3.4019,38.364,58.8,86,72,8.46,broken clouds
328,Minsk,BY,53.9,27.5667,46.15,73,100,4.14,overcast clouds
329,Usakos,NA,-22.0,15.6,57.24,38,77,1.28,broken clouds
330,Cap Malheureux,MU,-19.9842,57.6142,69.48,75,0,3.0,clear sky
331,Yevlax,AZ,40.6089,47.1492,58.5,70,0,1.01,clear sky
332,Tabuk,PH,17.4189,121.4443,79.54,83,100,3.98,overcast clouds
333,Bara,NG,10.3744,10.7288,74.89,84,74,5.14,broken clouds
334,Zyryanovsk,KZ,49.7386,84.2719,53.64,41,100,1.52,overcast clouds
335,Bulungu,CD,-4.55,18.6,71.69,82,71,1.1,broken clouds
336,Draguignan,FR,43.5333,6.4667,61.84,77,100,9.22,overcast clouds
337,Karpogory,RU,64.0019,44.4451,36.23,83,9,7.36,clear sky
338,Salym,RU,60.0625,71.4789,26.53,84,11,4.9,few clouds
339,San Rafael,AR,-34.6177,-68.3301,57.92,46,84,1.97,broken clouds
340,Neyshabur,IR,36.2133,58.7958,66.13,49,0,2.08,clear sky
341,Bar Harbor,US,44.3876,-68.2039,58.6,89,100,9.22,overcast clouds
342,Olafsvik,IS,64.8945,-23.7142,44.38,58,0,7.36,clear sky
343,Umm Lajj,SA,25.0213,37.2685,93.61,25,5,16.17,clear sky
344,Umm Kaddadah,SD,13.6017,26.6876,84.85,44,100,11.27,overcast clouds
345,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.21,80,81,11.56,broken clouds
346,Inhambane,MZ,-23.865,35.3833,70.3,90,0,7.92,clear sky
347,Dunda,TZ,-8.1167,34.25,64.65,64,0,3.62,clear sky
348,Filingue,NE,14.3521,3.3168,88.72,46,17,9.78,few clouds
349,Narasannapeta,IN,18.4167,84.05,78.22,87,97,3.85,overcast clouds
350,Mitsamiouli,KM,-11.3847,43.2844,75.29,83,15,10.31,few clouds
351,Lomianki,PL,52.3341,20.886,53.28,91,33,3.44,fog
352,Havelock,US,34.8791,-76.9013,78.75,78,99,1.99,overcast clouds
353,Nioro,GM,13.35,-15.75,73.65,95,100,4.63,light rain
354,Thompson,CA,55.7435,-97.8558,38.5,58,6,4.79,clear sky
355,New Bern,US,35.1085,-77.0441,78.01,73,75,10.36,broken clouds
356,Moca,DO,19.5,-70.5,71.58,92,20,5.75,few clouds
357,Mogadishu,SO,2.0371,45.3438,77.32,87,94,13.22,overcast clouds
358,Tevriz,RU,57.509,72.4042,28.98,93,15,7.18,few clouds
359,Minas,UY,-34.3759,-55.2377,53.94,87,100,13.69,overcast clouds
360,Ler,SS,8.3018,30.1418,71.58,92,51,3.42,broken clouds
361,Careiro Da Varzea,BR,-3.2003,-59.8119,84.81,38,9,3.38,clear sky
362,Prestea,GH,5.4327,-2.1428,71.98,99,56,3.53,light rain
363,Puerto Colombia,CO,10.9878,-74.9547,81.7,74,100,8.39,overcast clouds
364,Bengkulu,ID,-3.8004,102.2655,78.53,80,94,5.12,overcast clouds
365,Aras,ES,42.5617,-2.356,45.01,81,0,6.91,clear sky
366,Mogwase,ZA,-25.185,27.2665,66.49,35,0,1.54,clear sky
367,Rawatsar,IN,29.2833,74.3833,79.3,80,2,7.18,clear sky
368,Saint-Augustin,CA,51.226,-58.6502,46.67,79,11,15.32,few clouds
369,Zharkent,KZ,44.1628,80.0,63.03,40,0,5.35,clear sky
370,Ilheus,BR,-14.7889,-39.0494,70.97,93,58,2.77,broken clouds
371,Baiao,BR,-2.7906,-49.6717,76.35,80,90,1.95,overcast clouds
372,Kosino,RU,58.4127,51.2782,42.48,91,100,17.13,light rain
373,Mahon,ES,39.8885,4.2658,64.96,88,100,11.5,shower rain
374,Bay Roberts,CA,47.5999,-53.2648,52.34,89,2,1.99,clear sky
375,Kot Kapura,IN,30.5833,74.9,72.05,95,0,4.94,clear sky
376,Ilam,NP,26.9167,87.9167,67.41,91,100,2.51,overcast clouds
377,Goderich,CA,43.7501,-81.7165,58.91,72,98,21.92,overcast clouds
378,Strezhevoy,RU,60.7333,77.5889,26.2,90,10,6.8,clear sky
379,Puerto Lempira,HN,15.2667,-83.7667,79.75,83,100,11.39,overcast clouds
380,Tessalit,ML,20.1986,1.0114,90.23,19,60,3.18,broken clouds
381,Albany,US,42.6001,-73.9662,60.89,90,100,3.89,overcast clouds
382,Rorvik,NO,64.8621,11.2373,53.71,62,100,11.5,overcast clouds
383,Kunda,IN,25.7167,81.5167,75.36,86,98,1.45,overcast clouds
384,Whitehaven,GB,54.549,-3.5841,54.66,100,7,4.0,clear sky
385,Kiruna,SE,67.8557,20.2251,40.12,87,100,9.22,overcast clouds
386,Makhinjauri,GE,41.6739,41.694,57.06,72,0,21.85,clear sky
387,Chhindwara,IN,22.0667,78.9333,70.12,92,99,4.36,overcast clouds
388,Tucuma,BR,-0.1833,-50.05,77.92,87,1,9.24,clear sky
389,Santiago,CL,-33.4569,-70.6483,57.85,65,0,5.75,clear sky
390,Starkville,US,33.4504,-88.8184,72.84,100,0,0.0,clear sky
391,Muli,MV,2.9167,73.5667,81.77,74,100,14.85,moderate rain
392,Le Port,RE,-20.9373,55.2919,69.76,69,2,6.35,clear sky
393,Turukhansk,RU,65.8167,87.9833,28.94,97,100,2.66,light snow
394,Biscarrosse,FR,44.3945,-1.1672,48.15,93,0,1.14,clear sky
395,Ambanja,MG,-13.6833,48.45,68.83,75,12,3.67,few clouds
396,Mehamn,NO,71.0357,27.8492,44.55,76,0,13.8,clear sky
397,Noyabrsk,RU,63.1994,75.4507,27.75,85,91,13.31,overcast clouds
398,Porto Velho,BR,-8.7619,-63.9039,80.65,74,0,1.14,clear sky
399,Nouadhibou,MR,20.931,-17.0347,74.97,91,10,4.25,clear sky
400,Remontnoye,RU,46.5614,43.6501,51.15,77,11,11.32,few clouds
401,Waddan,LY,29.1614,16.139,76.75,36,1,7.2,clear sky
402,Bodden Town,KY,19.2833,-81.25,79.0,89,100,5.99,overcast clouds
403,Halifax,CA,44.6453,-63.5724,60.46,87,100,3.0,light rain
404,Karaton,ID,-6.3424,106.1045,79.92,77,97,3.02,overcast clouds
405,Saint-Denis,FR,48.9167,2.3333,55.11,77,0,5.75,clear sky
406,Kisangani,CD,0.5167,25.2,67.69,98,27,1.92,scattered clouds
407,Ostrovskoye,RU,57.8057,42.2433,44.87,92,100,5.5,light rain
408,Mount Darwin,ZW,-16.7725,31.5838,62.02,63,8,2.75,clear sky
409,Porto Santo,PT,33.072,-16.3415,70.18,64,40,12.66,scattered clouds
410,Mwinilunga,ZM,-11.7358,24.4293,64.27,37,70,5.08,broken clouds
411,Agirish,RU,61.9247,63.0231,27.19,78,6,6.15,clear sky
412,Qeshm,IR,26.9581,56.2719,84.7,83,0,1.63,clear sky
413,Cascais,PT,38.6979,-9.4215,64.94,97,1,28.99,clear sky
414,Nexo,DK,55.0607,15.1306,55.49,80,22,13.53,few clouds
415,Jijiga,ET,9.35,42.8,60.73,85,21,8.84,few clouds
416,Lebu,CL,-37.6167,-73.65,48.7,86,100,8.68,overcast clouds
417,Tornio,FI,65.8481,24.1466,41.02,86,81,10.42,broken clouds
418,Laguna,US,38.421,-121.4238,96.08,30,0,9.22,clear sky
419,Ayacucho,PE,-13.1583,-74.2239,58.91,68,99,5.93,overcast clouds
420,Kulynychi,UA,49.9823,36.3842,51.51,63,100,5.46,overcast clouds
421,Leshukonskoye,RU,64.8989,45.7622,32.94,88,29,7.0,scattered clouds
422,Ouahigouya,BF,13.5828,-2.4216,82.71,60,16,4.88,few clouds
423,Zhezkazgan,KZ,47.8043,67.7144,64.38,29,40,17.9,scattered clouds
424,Mbigou,GA,-1.9005,11.906,67.75,99,100,2.1,light rain
425,Kati,ML,12.7441,-8.0726,74.61,79,28,3.06,scattered clouds
426,Sorkjosen,NO,69.8,20.9333,50.0,66,44,26.46,scattered clouds
427,Port-Gentil,GA,-0.7193,8.7815,76.6,87,100,16.08,light rain
428,Pilar Do Sul,BR,-23.8131,-47.7164,57.06,90,100,9.95,overcast clouds
429,Aswan,EG,24.0934,32.907,87.57,20,0,10.45,clear sky
430,San Francisco,US,37.7749,-122.4194,80.76,82,20,20.71,few clouds
431,Jurado,CO,7.1053,-77.7641,77.0,89,77,3.04,broken clouds
432,Hopkinton,US,41.4612,-71.7776,67.51,82,0,5.75,clear sky
433,Mahibadhoo,MV,3.7833,72.9667,81.81,73,100,13.78,overcast clouds
434,Rabo De Peixe,PT,37.8,-25.5833,66.27,78,20,6.91,few clouds
435,Vagur,FO,61.4732,-6.8119,42.58,87,100,48.3,light rain
436,Nantucket,US,41.2835,-70.0995,69.91,67,0,18.41,clear sky
437,Kalety,PL,50.5627,18.8926,51.22,93,84,2.3,mist
438,Vozhega,RU,60.4725,40.2213,44.85,98,100,6.8,light rain
439,Kutum,SD,14.2,24.6667,76.1,55,100,14.9,overcast clouds
440,Abha,SA,18.2164,42.5053,62.85,22,0,0.0,clear sky
441,Pocone,BR,-16.2567,-56.6228,85.1,45,30,4.97,scattered clouds
442,Rajmahal,IN,25.05,87.8333,78.8,86,89,3.02,overcast clouds
443,Loandjili,CG,-4.7561,11.8578,75.2,84,100,8.12,overcast clouds
444,Anori,BR,-3.7728,-61.6442,81.64,40,41,1.54,scattered clouds
445,Tigzirt,DZ,36.8886,4.1198,72.37,68,100,8.41,overcast clouds
446,Catanzaro,IT,38.8908,16.5987,64.76,65,63,4.25,broken clouds
447,Conde,BR,-7.2597,-34.9075,74.66,88,75,5.75,broken clouds
448,Gasa,PS,31.5,34.4667,77.22,60,0,9.4,clear sky
449,Simoes,BR,-7.5989,-40.8178,78.26,31,6,10.58,clear sky
450,Sovetskiy,RU,61.3614,63.5842,27.9,77,6,6.71,clear sky
451,Venezuela,VE,8.0,-66.0,82.94,72,100,5.59,overcast clouds
452,Nicoya,CR,10.1483,-85.452,75.33,94,100,0.81,overcast clouds
453,San Carlos,VE,9.6612,-68.5827,73.89,95,98,2.73,overcast clouds
454,Grodkow,PL,50.6984,17.3845,53.94,89,65,5.55,broken clouds
